index,job_id
0,create_dir_1000genome-20200518T045356Z_0_condorpool
1,individuals_ID0000004
2,individuals_ID0000015
3,individuals_ID0000005
4,individuals_ID0000016
5,individuals_ID0000006
6,individuals_ID0000017
7,individuals_ID0000007
8,individuals_ID0000018
9,individuals_ID0000022
10,individuals_ID0000001
11,individuals_ID0000002
12,individuals_ID0000013
13,individuals_ID0000003
14,individuals_ID0000014
15,individuals_ID0000008
16,individuals_ID0000019
17,individuals_ID0000009
18,individuals_ID0000020
19,individuals_ID0000010
20,individuals_ID0000021
21,sifting_ID0000012
22,sifting_ID0000024
23,individuals_merge_ID0000011
24,individuals_merge_ID0000023
25,frequency_ID0000030
26,mutation_overlap_ID0000031
27,frequency_ID0000036
28,frequency_ID0000026
29,mutation_overlap_ID0000033
30,frequency_ID0000038
31,frequency_ID0000032
32,frequency_ID0000034
33,mutation_overlap_ID0000027
34,mutation_overlap_ID0000029
35,frequency_ID0000028
36,mutation_overlap_ID0000035
37,mutation_overlap_ID0000037
38,mutation_overlap_ID0000025
39,frequency_ID0000050
40,frequency_ID0000040
41,frequency_ID0000052
42,frequency_ID0000046
43,mutation_overlap_ID0000041
44,frequency_ID0000048
45,mutation_overlap_ID0000043
46,frequency_ID0000042
47,frequency_ID0000044
48,mutation_overlap_ID0000051
49,mutation_overlap_ID0000039
50,mutation_overlap_ID0000049
51,mutation_overlap_ID0000045
52,mutation_overlap_ID0000047
53,stage_out_local_condorpool_2_1
54,stage_out_local_condorpool_2_2
55,stage_out_local_condorpool_2_0
56,cleanup_1000genome-20200518T045356Z_0_condorpool
